ConfigIndex,RunIndex,N,StartNode,SolveTime,Optimal,Gap,ObjectiveValue,AvgTime,OptimalCount
1,1,20,13,0.0131185,1,0,33,,
1,2,20,12,0.0213416,1,0,33,,
1,3,20,9,0.0176595,1,0,33,,
1,4,20,11,0.0599397,1,0,33,,
1,5,20,14,0.0261621,1,0,33,,
1,6,20,1,0.0162045,1,0,33,,
1,7,20,15,0.0202572,1,0,33,,
1,8,20,17,0.0181137,1,0,33,,
1,9,20,16,0.0146846,1,0,33,,
1,10,20,1,0.016231,1,0,33,,
1,,,,,,,0.0223713,10
2,1,20,13,0.0555544,1,0,28,,
2,2,20,14,0.0629253,1,0,28,,
2,3,20,1,0.0424507,1,0,28,,
2,4,20,16,0.0781902,1,0,28,,
2,5,20,8,0.0475232,1,0,28,,
2,6,20,10,0.0391847,1,0,28,,
2,7,20,16,0.059266,1,0,28,,
2,8,20,2,0.036579,1,0,28,,
2,9,20,17,0.0477935,1,0,28,,
2,10,20,11,0.0495588,1,0,28,,
2,,,,,,,0.0519026,10
3,1,60,39,0.218471,1,0,60,,
3,2,60,0,0.150477,1,0,60,,
3,3,60,36,0.237311,1,0,60,,
3,4,60,14,0.23968,1,0,60,,
3,5,60,15,0.227082,1,0,60,,
3,6,60,27,0.178871,1,0,60,,
3,7,60,22,0.178914,1,0,60,,
3,8,60,59,0.397648,1,0,60,,
3,9,60,43,0.184891,1,0,60,,
3,10,60,45,0.207234,1,0,60,,
3,,,,,,,0.222058,10
